State	HIV Testing|Anonymous Testing Available: 	HIV Testing|Informed Consent Required: 	HIV Testing|Partner Notification Required: 	HIV Testing|Patient Written Documentation of Informed Consent Required: 	HIV Testing|Post-Test Counseling (Only for HIV Diagnosis): 	HIV Testing|Post-Test Counseling for All Who Test: 	HIV Testing|Pre-Test Counseling: 	HIV-Specific Criminal Laws|Blood, Tissue, Organ, and Semen Donation: 	HIV-Specific Criminal Laws|General Felony Laws Used Against PLWH: 	HIV-Specific Criminal Laws|General STI/Communicable Disease Laws that Include HIV: 	HIV-Specific Criminal Laws|General STI/Communicable Disease Laws: 	HIV-Specific Criminal Laws|HIV-Specific Felony Laws: 	HIV-Specific Criminal Laws|HIV-Specific Misdemeanor Laws: 	HIV-Specific Criminal Laws|HIV-specific Sentence Enhancement: 	HIV-Specific Criminal Laws|Needle-sharing: 	HIV-Specific Criminal Laws|STI/Communicable Disease Felony Laws: 	HIV-Specific Criminal Laws|STI/Communicable Disease Misdemeanor Laws: 	HIV-Specific Criminal Laws|Sex Offender Registration: 	HIV-Specific Criminal Laws|Sex Work/Solicitation: 	HIV-Specific Criminal Laws|Sex: 	HIV-Specific Criminal Laws|Spitting/Biting/Blood Exposure: 	Minors' Access to STI and HIV Testing and Treatment|Minor May Consent to HIV Testing and Treatment: 	Minors' Access to STI and HIV Testing and Treatment|Minor May Consent to HIV Testing: 	Minors' Access to STI and HIV Testing and Treatment|Minor May Consent to STI Testing and Treatment: 	Minors' Access to STI and HIV Testing and Treatment|Physician May Inform Parent of Minor's HIV Status: 	State Guidelines on Health Care Workers with HIV|Calls for Voluntary Testing of Health Care Workers with HIV: 	State Guidelines on Health Care Workers with HIV|Health Department Policies: 	State Guidelines on Health Care Workers with HIV|Patient Notification of HIV Status for Health Care Workers: 	State Guidelines on Health Care Workers with HIV|Practice Restrictions Based on HIV Status/"Exposure-Prone Procedures": 
Illinois	1	0	0	-1	-1	0	1	1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	-1	1	1	1	1	1	1
Indiana	1	1	1	-1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	-1	-1	-1	1	1	1	-1	1	1	1	1	-1	1
Iowa	-1	0	1	-1	1	-1	-1	1	-1	-1	1	1	1	-1	1	-1	1	-1	-1	1	-1	1	-1	1	1	1	1	-1	1
Kansas	1	0	0	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	1
Kentucky	1	0	0	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	1	-1	1
Louisiana	1	0	0	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	1	-1	1	1	1	1
Maine	1	1	0	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	0	1
Maryland	1	1	0	-1	1	-1	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	-1	1
Massachusetts	1	0	0	-1	1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	0	1
Michigan	1	0	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	1	1	1	1	1
Minnesota	0	0	0	-1	-1	0	0	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	1	1
Mississippi	0	0	0	-1	1	-1	0	1	-1	-1	-1	1	1	-1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	1	-1	1
Missouri	1	0	0	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	1	1	1	1
Montana	0	0	0	-1	-1	0	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	1	1	1	1	-1	1
Nebraska	1	0	1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	1	1
Nevada	0	0	0	-1	1	-1	0	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	1	1	-1	1	-1	1	-1	1	1	1	1
New Hampshire	0	0	0	-1	1	-1	0	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	1	1
New Jersey	1	0	0	-1	-1	0	0	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	1
New Mexico	0	0	0	-1	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	1	1	1	1
New York	1	1	1	-1	1	0	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	1
North Carolina	0	0	1	-1	1	-1	0	1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	1
North Dakota	0	1	0	-1	-1	0	0	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	1	-1	1	1	0	1
Ohio	1	0	1	-1	1	-1	0	1	-1	-1	1	1	-1	-1	-1	-1	1	1	1	1	1	0	1	1	-1	1	-1	1	1
Oklahoma	0	0	0	-1	1	-1	0	-1	1	-1	-1	1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	1	1	1	1	1	1
Oregon	1	1	0	-1	-1	0	0	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	1	1	1
Pennsylvania	1	0	0	-1	-1	0	0	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	1	-1	1	1	1	1
Puerto Rico	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1
Rhode Island	1	1	-1	0	1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1
South Carolina	0	0	1	-1	-1	0	0	1	1	-1	1	1	-1	-1	1	-1	1	-1	1	1	-1	1	1	1	-1	1	1	1	1
South Dakota	0	0	0	-1	-1	0	0	1	-1	-1	1	1	-1	-1	1	-1	1	1	-1	1	1	-1	-1	1	-1	1	1	1	1
Tennessee	0	0	0	-1	-1	0	0	1	-1	-1	1	1	-1	1	1	-1	1	1	1	1	-1	1	-1	1	-1	1	1	1	1
Texas	1	0	0	0	1	-1	0	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	1	1	1	1
Utah	1	0	1	-1	-1	0	0	-1	-1	-1	1	1	-1	1	-1	-1	1	-1	1	-1	1	0	-1	1	-1	1	-1	1	1
Vermont	0	0	0	-1	-1	0	0	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	1	-1	1	1	1	1
Virginia	1	1	0	-1	1	-1	0	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	1	1
Washington	1	0	1	-1	1	-1	0	1	-1	-1	1	1	-1	-1	1	-1	1	1	-1	1	1	1	-1	1	-1	1	-1	1	-1
West Virginia	1	0	0	-1	-1	0	0	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	1
Wisconsin	1	1	0	-1	-1	0	0	-1	1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	1	1	1	1
Wyoming	0	0	1	-1	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	1	1	1
